ar,cs,de,en,es,fa,fr,he,hi,id,it,ja,ko,nl,pl,pt,ru,sv,tr,uk,ur,zh
شانغهاي,Šanghaj,Shanghai,Shanghai,Shanghái,شانگهای,Shanghai,שאנגחאי,शंघाई,Shanghai,Shanghai,上海市,상하이 시,Shanghai,Szanghaj,Xangai,Шанхай,Shanghai,Şanghay,Шанхай,شنگھائی,上海市
كراتشي,Karáčí,Karatschi,Karachi,Karachi,کراچی,Karachi,קראצ'י,कराची,Karachi,Karachi,カラチ,카라치,Karachi,Karaczi,Carachi,Карачи,Karachi,Karaçi,Карачі,کراچی,卡拉奇
لاغوس,Lagos,Lagos,Lagos,Lagos,لاگوس,Lagos (Nigeria),לאגוס,लागोस,Lagos,Lagos,ラゴス,라고스,Lagos (Nigeria),Lagos,Lagos (Nigéria),Лагос,Lagos,Lagos,Лагос,لاگوس,拉哥斯
دلهي,Dillí,Delhi,Delhi,Delhi,دهلی,Delhi,דלהי,दिल्ली,Delhi,Delhi,デリー,델리,Delhi (stad),Delhi,Deli,Дели,Delhi,Delhi,Делі,دہلی,德里
إسطنبول,Istanbul,Istanbul,Istanbul,Estambul,استانبول,Istanbul,איסטנבול,इस्तांबुल,Istanbul,Istanbul,イスタンブル,이스탄불,Istanboel,Stambuł,Istambul,Стамбул,Istanbul,İstanbul,Стамбул,استنبول,伊斯坦堡
طوكيو,Prefektura Tokio,Präfektur Tokio,Tokyo,Tokio,توکیو,Tokyo,טוקיו,टोक्यो,Tokyo,Tokyo,東京都,도쿄 도,Tokio,Tokio,Tóquio,Токио,Tokyo prefektur,Tokyo,Токіо,توکیو,東京都
تيانجين,Tchien-ťin,Tianjin,Tianjin,Tianjin,تیانجین,Tianjin,טיינג'ין,तिआंजिन,Tianjin,Tientsin,天津市,톈진 시,Tianjin,Tiencin,Tianjin,Тяньцзинь,Tianjin,Tientsin,Тяньцзінь,تیانجن,天津市
قوانتشو,Kanton (Čína),Guangzhou,Guangzhou,Cantón (China),گوانگ‌ژو,Canton (Chine),גואנגג'ואו,ग्वांगझोउ,Guangzhou,Canton,広州市,광저우 시,Kanton (stad),Kanton (Chiny),Cantão (China),Гуанчжоу,Guangzhou,Guangzhou,Гуанчжоу,گوانگژو,广州市
مومباي,Bombaj,Mumbai,Mumbai,Bombay,بمبئی,Bombay,מומבאי,मुम्बई,Mumbai,Mumbai,ムンバイ,뭄바이,Bombay,Mumbaj,Bombaim,Мумбаи,Bombay,Mumbai,Мумбаї,ممبئی,孟买
موسكو,Moskva,Moskau,Moscow,Moscú,مسکو,Moscou,מוסקבה,मास्को,Moskwa,Mosca (Russia),モスクワ,모스크바,Moskou,Moskwa,Moscovo,Москва,Moskva,Moskova,Москва,ماسکو,莫斯科
ساو باولو,São Paulo,São Paulo,São Paulo,São Paulo,سائو پائولو,São Paulo,סאו פאולו,साओ पाउलो,São Paulo,San Paolo (Brasile),サンパウロ,상파울루,São Paulo (stad),São Paulo,São Paulo (cidade),Сан-Паулу,São Paulo,São Paulo,Сан-Паулу,ساؤ پاؤلو,聖保羅 (巴西)
بكين,Peking,Peking,Beijing,Pekín,پکن,Pékin,בייג'ינג,बीजिंग,Beijing,Pechino,北京市,베이징 시,Peking,Pekin,Pequim,Пекин,Peking,Pekin,Пекін,بیجنگ,北京市
شنجن (الصين),Šen-čen,Shenzhen,Shenzhen,Shenzhen,شنژن,Shenzhen,שנג'ן,शेन्झेन,Shenzhen,Shenzhen,深セン市,선전 시,Shenzhen,Shenzhen,Shenzhen,Шэньчжэнь,Shenzhen,Shenzhen,Шеньчжень,شینزین,深圳市
سول,Soul,Seoul,Seoul,Seúl,سئول,Séoul,סיאול,सियोल,Seoul,Seul,ソウル特別市,서울특별시,Seoel,Seul,Seul,Сеул,Seoul,Seul,Сеул,سیول,首爾
جاكرتا,Jakarta,Jakarta,Jakarta,Yakarta,جاکارتا,Jakarta,ג'קרטה,जकार्ता,Daerah Khusus Ibukota Jakarta,Giacarta,ジャカルタ,자카르타,Jakarta,Dżakarta,Jacarta,Джакарта,Jakarta,Cakarta,Джакарта,جکارتہ,雅加达
لاهور,Láhaur,Lahore,Lahore,Lahore,لاهور,Lahore,לאהור,लाहौर,Lahore,Lahore,ラホール,라호르,Lahore,Lahaur,Lahore,Лахор,Lahore,Lahor,Лахор,لاہور,拉合爾
كينشاسا,Kinshasa,Kinshasa,Kinshasa,Kinsasa,کینشاسا,Kinshasa,קינשאסה,किन्शासा,Kinshasa,Kinshasa,キンシャサ,킨샤사,Kinshasa,Kinszasa,Kinshasa,Киншаса,Kinshasa,Kinşasa,Кіншаса,کنشاسا,金夏沙
القاهرة,Káhira,Kairo,Cairo,El Cairo,قاهره,Le Caire,קהיר,काहिरा,Kairo,Il Cairo,カイロ,카이로,Caïro (stad),Kair,Cairo,Каир,Kairo,Kahire,Каїр,قاہرہ,开罗
مدينة مكسيكو,Ciudad de México,Mexiko-Stadt,Mexico City,"México, D. F.",مکزیکو سیتی,Mexico,מקסיקו סיטי,मेक्सिको नगर,Ciudad de México,Città del Messico,メキシコシティ,멕시코시티,Mexico-Stad,Meksyk (miasto),Cidade do México,Мехико,Mexico City,Meksiko,Мехіко,میکسیکو شہر,墨西哥城
ليما,Lima,Lima,Lima,Lima,لیما,Lima,לימה,लीमा,"Lima, Peru",Lima,リマ,리마,Lima (stad),Lima,Lima,Лима,Lima,Lima,Ліма,لیما,利馬
